StudentID,AttendancePercent,MidtermScore,FinalScore,AssignmentScore,PassFail
STU0001,66,29,39,90,Fail
STU0002,90,63,53,80,Pass
STU0003,81,62,30,98,Fail
STU0004,64,100,60,92,Pass
STU0005,95,24,89,38,Pass
STU0006,55,49,81,41,Fail
STU0007,67,32,32,86,Fail
STU0008,50,25,48,71,Fail
STU0009,90,57,27,75,Fail
STU0010,63,38,75,61,Pass
STU0011,73,92,72,53,Pass
STU0012,50,98,30,78,Fail
STU0013,79,83,50,48,Pass
STU0014,54,78,61,62,Fail
STU0015,82,79,21,66,Fail
STU0016,83,40,89,39,Pass
STU0017,68,95,64,68,Pass
STU0018,80,52,74,88,Pass
STU0019,94,45,58,79,Pass
STU0020,94,33,81,60,Pass
STU0021,64,65,93,67,Pass
STU0022,84,22,57,80,Pass
STU0023,57,97,20,93,Fail
STU0024,93,49,56,75,Pass
STU0025,54,37,26,42,Fail
STU0026,97,25,100,69,Pass
STU0027,90,24,76,76,Pass
STU0028,86,31,36,67,Fail
STU0029,60,42,73,55,Pass
STU0030,48,87,68,94,Fail
STU0031,98,41,54,62,Pass
STU0032,98,57,81,73,Pass
STU0033,91,79,34,39,Fail
STU0034,49,91,26,76,Fail
STU0035,45,53,60,98,Fail
STU0036,47,53,57,78,Fail
STU0037,92,33,67,59,Pass
STU0038,70,99,23,71,Fail
STU0039,98,48,98,38,Pass
STU0040,80,58,79,82,Pass
STU0041,47,24,26,68,Fail
STU0042,71,32,34,60,Fail
STU0043,96,37,88,79,Pass
STU0044,69,89,67,83,Pass
STU0045,77,73,39,42,Fail
STU0046,93,98,82,82,Pass
STU0047,100,24,55,77,Pass
STU0048,53,50,52,76,Fail
STU0049,46,27,46,80,Fail
STU0050,57,78,31,41,Fail
STU0051,82,96,47,32,Pass
STU0052,43,36,45,56,Fail
STU0053,44,95,74,57,Fail
STU0054,92,62,49,48,Pass
STU0055,90,20,96,65,Pass
STU0056,94,36,38,99,Fail
STU0057,56,23,29,46,Fail
STU0058,40,95,48,71,Fail
STU0059,41,26,24,46,Fail
STU0060,87,87,73,44,Pass
STU0061,87,80,28,87,Fail
STU0062,89,85,66,43,Pass
STU0063,68,48,84,35,Pass
STU0064,86,58,86,88,Pass
STU0065,81,27,23,91,Fail
STU0066,94,74,71,43,Pass
STU0067,71,29,76,40,Pass
STU0068,60,38,97,38,Pass
STU0069,48,68,35,97,Fail
STU0070,58,32,55,44,Fail
STU0071,94,47,90,85,Pass
STU0072,68,72,49,73,Pass
STU0073,92,71,78,83,Pass
STU0074,86,60,32,84,Fail
STU0075,60,67,52,49,Pass
STU0076,83,28,80,41,Pass
STU0077,93,31,30,85,Fail
STU0078,46,91,53,37,Fail
STU0079,77,91,91,72,Pass
STU0080,82,72,35,75,Fail
STU0081,95,26,74,66,Pass
STU0082,78,65,59,43,Pass
STU0083,76,47,84,49,Pass
STU0084,82,48,81,43,Pass
STU0085,62,67,91,44,Pass
STU0086,88,93,55,58,Pass
STU0087,91,91,74,33,Pass
STU0088,78,23,54,53,Pass
STU0089,57,64,39,30,Fail
STU0090,51,28,20,48,Fail
STU0091,87,31,23,97,Fail
STU0092,53,78,45,73,Fail
STU0093,50,61,48,40,Fail
STU0094,96,39,26,50,Fail
STU0095,88,26,99,40,Pass
STU0096,57,82,53,86,Fail
STU0097,66,47,54,95,Pass
STU0098,47,34,41,66,Fail
STU0099,83,82,95,97,Pass
STU0100,82,25,59,58,Pass
STU0101,65,27,96,30,Pass
STU0102,53,37,42,62,Fail
STU0103,58,20,48,93,Fail
STU0104,87,42,75,46,Pass
STU0105,64,49,88,94,Pass
STU0106,75,29,65,80,Pass
STU0107,95,75,25,32,Fail
STU0108,69,60,29,84,Fail
STU0109,76,73,71,67,Pass
STU0110,47,61,61,51,Fail
STU0111,91,78,99,76,Pass
STU0112,45,51,62,85,Fail
STU0113,77,87,71,40,Pass
STU0114,65,63,59,58,Pass
STU0115,61,29,41,95,Pass
STU0116,80,87,34,95,Fail
STU0117,52,38,43,60,Fail
STU0118,46,45,20,52,Fail
STU0119,78,29,39,52,Fail
STU0120,100,83,100,89,Pass
STU0121,88,94,92,87,Pass
STU0122,83,99,92,71,Pass
STU0123,95,60,100,49,Pass
STU0124,68,80,28,86,Fail
STU0125,80,55,58,37,Pass
STU0126,62,29,84,69,Pass
STU0127,69,24,77,37,Pass
STU0128,63,29,56,41,Pass
STU0129,79,84,96,79,Pass
STU0130,69,90,94,35,Pass
STU0131,68,44,93,71,Pass
STU0132,78,84,80,49,Pass
STU0133,43,63,64,40,Fail
STU0134,72,25,42,61,Pass
STU0135,85,76,76,97,Pass
STU0136,73,40,98,76,Pass
STU0137,63,69,56,82,Pass
STU0138,89,96,63,36,Pass
STU0139,90,62,100,38,Pass
STU0140,61,91,32,79,Fail
STU0141,58,62,38,40,Fail
STU0142,77,64,38,69,Fail
STU0143,81,36,70,40,Pass
STU0144,59,62,69,46,Fail
STU0145,82,31,87,84,Pass
STU0146,72,22,66,76,Pass
STU0147,59,63,27,92,Fail
STU0148,52,39,34,39,Fail
STU0149,58,63,21,46,Fail
STU0150,78,39,68,50,Pass
STU0151,51,76,84,35,Fail
STU0152,66,50,66,86,Pass
STU0153,79,77,56,59,Pass
STU0154,74,59,50,90,Pass
STU0155,97,67,44,86,Pass
STU0156,69,68,56,94,Pass
STU0157,73,40,73,55,Pass
STU0158,91,37,97,62,Pass
STU0159,43,90,60,43,Fail
STU0160,85,35,86,66,Pass
STU0161,45,77,22,95,Fail
STU0162,49,48,63,87,Fail
STU0163,96,23,64,83,Pass
STU0164,43,50,49,79,Fail
STU0165,45,23,50,70,Fail
STU0166,99,62,32,48,Fail
STU0167,48,80,20,47,Fail
STU0168,88,77,80,30,Pass
STU0169,97,22,30,62,Fail
STU0170,53,34,20,66,Fail
STU0171,55,26,45,60,Fail
STU0172,66,78,99,38,Pass
STU0173,47,100,73,95,Fail
STU0174,76,38,50,67,Pass
STU0175,67,98,20,75,Fail
STU0176,55,43,70,40,Fail
STU0177,73,28,66,97,Pass
STU0178,74,84,84,100,Pass
STU0179,41,25,44,79,Fail
STU0180,63,22,52,75,Pass
STU0181,90,64,28,60,Fail
STU0182,86,33,100,72,Pass
STU0183,48,89,20,73,Fail
STU0184,92,79,42,91,Pass
STU0185,80,37,43,38,Pass
STU0186,85,24,78,67,Pass
STU0187,52,25,20,70,Fail
STU0188,99,85,59,80,Pass
STU0189,92,80,89,62,Pass
STU0190,42,65,25,36,Fail
STU0191,95,54,62,45,Pass
STU0192,91,75,67,81,Pass
STU0193,87,69,76,73,Pass
STU0194,51,67,58,96,Fail
STU0195,57,30,20,85,Fail
STU0196,78,89,43,67,Pass
STU0197,60,30,33,71,Fail
STU0198,82,59,57,87,Pass
STU0199,78,41,74,86,Pass
STU0200,62,25,77,75,Pass
